
449019	146292	472091	342267	525915
317937	849921	417311	357991	176686
700229	778173	699292	920866	65994
632311	549520	525710	348924	108082
588931	853667	931222	191155	749173
248700	34548	290379	895324	952099
227120	346468	626688	268298	724258
243045	481548	643121	114443	627954
126785	812155	122131	472304	186985
407347	106178	114928	557401	300342
832281	484123	692797	531250	836725
787347	168295	836935	767860	862080
307266	388893	663259	344471	517244
477387	889531	927625	566875	787332
26936	271622	589379	938898	826574
811361	79308	730727	393069	136051
984756	215453	467675	30531	587376
136228	325593	824153	546046	90964
461560	991556	837154	409030	835159
361435	278083	751449	742327	965888
981939	270089	920287	477975	874010
444245	701338	545745	921321	629637
776596	650691	350151	850800	818863
128430	819639	794698	800111	365934
736771	961385	251089	372853	246239
723650	117665	266837	804777	874683
585095	933106	445049	697955	253351
889514	424008	476631	734177	194372
406268	477115	259728	630476	738738
170595	396339	647884	297307	676010
520885	177707	139014	885483	909373
879480	443469	106845	106245	644073
620154	591259	370815	951011	410914
850177	217769	707551	261180	995177
757918	571919	406419	917471	96527
967851	122592	534870	297302	375888
667450	567937	755216	866278	879166
622582	197602	192306	581515	184048
929056	639419	969459	56775	646289
560922	286741	724391	999071	206103
190507	217941	796407	591048	976253
873014	939347	366922	719634	803822
622448	901241	18113	926833	445042
749146	56428	69162	43066	801585
374335	870845	154177	860401	433498
97101	970727	818644	219018	314347
252192	576184	246619	663811	924152
151087	150309	79834	617007	464387
71851	752490	248939	841733	733803
35859	587097	191151	801082	310030
246271	768387	320805	866359	218820
762838	34645	552515	108022	129898
172145	125683	558688	611809	557488
986972	419796	556271	742791	415055
479445	613421	581886	644961	780025
547910	917833	176009	33938	527404
562049	49487	672908	977035	268041
871394	113166	337670	185198	717446
579153	526718	130999	675124	305160
718878	195286	473393	289695	125881
762000	491206	141048	226442	536430
150951	561320	672816	778629	572730
242454	624777	543823	47129	430496
741426	183527	998649	554216	776471
897174	923760	224642	165504	329272
518100	401178	439527	28045	586871
156091	612602	889909	654562	12244
455918	335693	356233	538692	87889
463427	525158	884216	585965	319273
960540	69024	704131	458522	814020
645442	515278	603587	318562	576672
329349	136929	153138	46416	298863
8524	916539	26195	333419	712015
615905	681351	959838	937677	935950
524370	266177	676775	100879	351737
91211	348610	805860	610935	2580
469293	258524	987688	426698	487743
